Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Somali Ostrich,5,Aledeghi Wildlife Reserve,ET-AF,23 Dec 2014,L2846177,S21016137
2,Greater Rhea,179,Drive between Salvador Mazza and Embarcacion,AR-A,03 Aug 2013,L2306024,S14848133
3,Tawny-breasted Tinamou,4,RNA Colibri del Sol (Dusky Starfrontlet Reserve),CO-ANT,20 Jun 2011,L751363,S8454785
4,Highland Tinamou,1,Cabañas San Isidro,EC-N,07 Dec 2008,L489454,S4345453
5,Gray Tinamou,1,ACR Cordillera Escalera--Túnel Tarapoto,PE-SAM,24 Dec 2009,L2273747,S5994200
6,Great Tinamou,1,La Selva Lodge,EC-U,16 Dec 2008,L471722,S4374954
7,White-throated Tinamou,2,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
8,Cinereous Tinamou,2,La Selva Lodge,EC-U,19 Dec 2008,L471722,S4374956
9,Berlepsch's Tinamou,1,Milpe Bird Sanctuary,EC-P,01 Jan 2009,L493675,S4418861
10,Little Tinamou,2,La Selva Lodge,EC-U,16 Dec 2008,L471722,S4374954
11,Brown Tinamou,1,Carretera La Cumbre,PE-PAS,22 Nov 2009,L846536,S5877054
12,Undulated Tinamou,2,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
13,Pale-browed Tinamou,4,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6084055
14,Brazilian Tinamou,1,Riberalta--Hamburgo,BO-B,29 Aug 2013,L2337822,S15043890
15,Gray-legged Tinamou,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
16,Slaty-breasted Tinamou,1,Valle Nacional,MX-OAX,14 Jan 2013,L247439,S12606693
17,Variegated Tinamou,1,Cerros de Contamana,PE-LOR,04 Dec 2009,L846516,S5877068
18,Thicket Tinamou,3,Zona Arqueológica Cobá,MX-ROO,21 Dec 2012,L250111,S12342183
19,Bartlett's Tinamou,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
20,Small-billed Tinamou,6,Riberalta--Pampa San Lorenzo,BO-B,30 Aug 2013,L2339144,S15050530
21,Tataupa Tinamou,3,Morro Calzada,PE-SAM,21 Dec 2009,L976328,S5980299
22,Red-winged Tinamou,26,Riberalta--Pampa San Lorenzo,BO-B,30 Aug 2013,L2339144,S15050530
23,Huayco Tinamou,5,Corani Dam Area,BO-C,20 Aug 2013,L1008541,S14966900
24,Ornate Tinamou,2,El Infiernillo (AICA TU07),AR-T,07 Aug 2013,L838297,S14878539
25,Brushland Tinamou,1,Taco Pozo -- NW road,AR-H,10 Aug 2013,L2317433,S14915684
26,Andean Tinamou,1,Río Yala,AR-Y,04 Aug 2013,L844832,S14872051
27,Curve-billed Tinamou,1,Quito Teleferiqo,EC-P,14 Dec 2008,L622763,S4358686
28,Elegant Crested-Tinamou,5,Cafayate--Km 8 monte,AR-A,05 Aug 2013,L2308654,S14862224
29,Quebracho Crested-Tinamou,2,Taco Pozo -- South road,AR-G,09 Aug 2013,L2317432,S14915680
30,Southern Cassowary,4,Cassowary House (Kuranda),AU-QLD,28 Nov 2017,L920581,S40782662
31,Emu,2,Ouyen-Patchewollock Rd,AU-VIC,03 Dec 2017,L2107595,S40896791
32,Horned Screamer,2,Riberalta--Hamburgo,BO-B,28 Aug 2013,L2337822,S15041638
33,Southern Screamer,2,Trinidad Airport,BO-B,28 Aug 2013,L2337823,S15041641
34,Magpie Goose,1,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
35,Spotted Whistling-Duck,25,"Oasis Drive pond, Wonga",AU-QLD,01 Dec 2017,L6522536,S40830216
36,Plumed Whistling-Duck,13,Adavale St dams (Brookfield),AU-QLD,25 Nov 2017,L3972529,S40714716
37,White-faced Whistling-Duck,11,Gambela--Metu Road track,ET-GA,16 Dec 2014,L3219566,S20934344
38,Black-bellied Whistling-Duck,,Puntarenas,CR-P,03 Jan 2006,L295309,S3704824
39,West Indian Whistling-Duck,8,Botanical Gardens,DO-01,17 Mar 2012,L1456462,S10193242
40,Fulvous Whistling-Duck,1,Camargue--Parc ornithologique du Pont de Gau,FR-U,07 Apr 2014,L1067998,S17800276
41,Wandering Whistling-Duck,11,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
42,Lesser Whistling-Duck,300,Navamin Lake,TH-50,12 Feb 2017,L1935064,S34312777
43,White-backed Duck,1,Lake Awassa--United Africa Shebelle Hotel area,ET-SN,08 Jan 2015,L2099157,S21297182
44,Emperor Goose,2,Cape Nome,US-AK,22 May 2013,L464529,S14216751
45,Snow Goose,,Parker River NWR,US-MA,23 Feb 2005,L129046,S3703471
46,Ross's Goose,1,Sweetwater Wetlands,US-AZ,14 Jan 2007,L208918,S3681626
47,Graylag Goose,3,"El Rocio, La Rocina",ES-AN,21 Apr 2008,L918618,S6490727
48,Greater White-fronted Goose,1,Concord Rotary Prison Fields,US-MA,10 Feb 2006,L358388,S3701791
49,Taiga Bean-Goose,30,加賀市--片野鴨池/鴨池観察館 (Kaga--Katano Kamoike / Kamoike Observation Center),JP-17,19 Dec 2013,L1483149,S16022969
50,Tundra Bean-Goose,2,加賀市--片野鴨池/鴨池観察館 (Kaga--Katano Kamoike / Kamoike Observation Center),JP-17,19 Dec 2013,L1483149,S16022969
51,Pink-footed Goose,2,Newport,US-RI,22 Jan 2007,L113071,S3704679
52,Brant,,Boston Harbor Islands National Recreation Area--IBA,US-MA,11 Nov 2005,L207352,S6236516
53,Barnacle Goose,1,Concord Rotary Prison Fields,US-MA,14 Oct 2007,L358388,S3703462
54,Cackling Goose,1,Plymouth,US-MA,27 Dec 2005,L111994,S3704692
55,Canada Goose,,Manomet Inc.,US-MA,31 Aug 2004,L207383,S3701848
56,Cape Barren Goose,11,"Lakeland Wetlands, Lara",AU-VIC,07 Dec 2017,L2548472,S41005560
57,Freckled Duck,19,"Begola Wetlands, Ocean Grove",AU-VIC,07 Dec 2017,L2548630,S41005568
58,Blue-winged Goose,1,Debre Libanos--Lodge and Portuguese Bridge,ET-OR,19 Dec 2014,L1550631,S21327441
59,Mute Swan,,Manomet Inc.,US-MA,31 Aug 2004,L207383,S3701848
60,Black Swan,2,Camargue--Mas d'Agon,FR-U,02 Apr 2014,L932858,S17705665
61,Black-necked Swan,74,Chacao,CL-LL,04 Feb 2010,L488817,S5862504
62,Trumpeter Swan,2,Seward Highway - roadside marsh,US-AK,13 Jul 2012,L1623235,S11150057
