Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Somali Ostrich - Struthio molybdophanes,5,Aledeghi Wildlife Reserve,ET-AF,23 Dec 2014,L2846177,S21016137
2,Greater Rhea - Rhea americana,179,Drive between Salvador Mazza and Embarcacion,AR-A,03 Aug 2013,L2306024,S14848133
3,Tawny-breasted Tinamou - Nothocercus julius,4,RNA Colibri del Sol (Dusky Starfrontlet Reserve),CO-ANT,20 Jun 2011,L751363,S8454785
4,Highland Tinamou - Nothocercus bonapartei,1,Cabañas San Isidro,EC-N,07 Dec 2008,L489454,S4345453
5,Gray Tinamou - Tinamus tao,1,ACR Cordillera Escalera--Túnel Tarapoto,PE-SAM,24 Dec 2009,L2273747,S5994200
6,Great Tinamou - Tinamus major,1,La Selva Lodge,EC-U,16 Dec 2008,L471722,S4374954
7,White-throated Tinamou - Tinamus guttatus,2,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
8,Cinereous Tinamou - Crypturellus cinereus,2,La Selva Lodge,EC-U,19 Dec 2008,L471722,S4374956
9,Berlepsch's Tinamou - Crypturellus berlepschi,1,Milpe Bird Sanctuary,EC-P,01 Jan 2009,L493675,S4418861
10,Little Tinamou - Crypturellus soui,2,La Selva Lodge,EC-U,16 Dec 2008,L471722,S4374954
11,Brown Tinamou - Crypturellus obsoletus,1,Carretera La Cumbre,PE-PAS,22 Nov 2009,L846536,S5877054
12,Undulated Tinamou - Crypturellus undulatus,2,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
13,Pale-browed Tinamou - Crypturellus transfasciatus,4,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6084055
14,Brazilian Tinamou - Crypturellus strigulosus,1,Riberalta--Hamburgo,BO-B,29 Aug 2013,L2337822,S15043890
15,Gray-legged Tinamou - Crypturellus duidae,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
16,Slaty-breasted Tinamou - Crypturellus boucardi,1,Valle Nacional,MX-OAX,14 Jan 2013,L247439,S12606693
17,Variegated Tinamou - Crypturellus variegatus,1,Cerros de Contamana,PE-LOR,04 Dec 2009,L846516,S5877068
18,Thicket Tinamou - Crypturellus cinnamomeus,3,Zona Arqueológica Cobá,MX-ROO,21 Dec 2012,L250111,S12342183
19,Bartlett's Tinamou - Crypturellus bartletti,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
20,Small-billed Tinamou - Crypturellus parvirostris,6,Riberalta--Pampa San Lorenzo,BO-B,30 Aug 2013,L2339144,S15050530
21,Tataupa Tinamou - Crypturellus tataupa,3,Morro Calzada,PE-SAM,21 Dec 2009,L976328,S5980299
22,Red-winged Tinamou - Rhynchotus rufescens,26,Riberalta--Pampa San Lorenzo,BO-B,30 Aug 2013,L2339144,S15050530
23,Huayco Tinamou - Rhynchotus maculicollis,5,Corani Dam Area,BO-C,20 Aug 2013,L1008541,S14966900
24,Ornate Tinamou - Nothoprocta ornata,2,El Infiernillo (AICA TU07),AR-T,07 Aug 2013,L838297,S14878539
25,Brushland Tinamou - Nothoprocta cinerascens,1,Taco Pozo -- NW road,AR-H,10 Aug 2013,L2317433,S14915684
26,Andean Tinamou - Nothoprocta pentlandii,1,Río Yala,AR-Y,04 Aug 2013,L844832,S14872051
27,Curve-billed Tinamou - Nothoprocta curvirostris,1,Quito Teleferiqo,EC-P,14 Dec 2008,L622763,S4358686
28,Elegant Crested-Tinamou - Eudromia elegans,5,Cafayate--Km 8 monte,AR-A,05 Aug 2013,L2308654,S14862224
29,Quebracho Crested-Tinamou - Eudromia formosa,2,Taco Pozo -- South road,AR-G,09 Aug 2013,L2317432,S14915680
30,Southern Cassowary - Casuarius casuarius,4,Cassowary House (Kuranda),AU-QLD,28 Nov 2017,L920581,S40782662
31,Emu - Dromaius novaehollandiae,2,Ouyen-Patchewollock Rd,AU-VIC,03 Dec 2017,L2107595,S40896791
32,Horned Screamer - Anhima cornuta,2,Riberalta--Hamburgo,BO-B,28 Aug 2013,L2337822,S15041638
33,Southern Screamer - Chauna torquata,2,Trinidad Airport,BO-B,28 Aug 2013,L2337823,S15041641
34,Magpie Goose - Anseranas semipalmata,1,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
35,Spotted Whistling-Duck - Dendrocygna guttata,25,"Oasis Drive pond, Wonga",AU-QLD,01 Dec 2017,L6522536,S40830216
36,Plumed Whistling-Duck - Dendrocygna eytoni,13,Adavale St dams (Brookfield),AU-QLD,25 Nov 2017,L3972529,S40714716
37,White-faced Whistling-Duck - Dendrocygna viduata,11,Gambela--Metu Road track,ET-GA,16 Dec 2014,L3219566,S20934344
38,Black-bellied Whistling-Duck - Dendrocygna autumnalis,,Puntarenas,CR-P,03 Jan 2006,L295309,S3704824
39,West Indian Whistling-Duck - Dendrocygna arborea,8,Botanical Gardens,DO-01,17 Mar 2012,L1456462,S10193242
40,Fulvous Whistling-Duck - Dendrocygna bicolor,1,Camargue--Parc ornithologique du Pont de Gau,FR-U,07 Apr 2014,L1067998,S17800276
41,Wandering Whistling-Duck - Dendrocygna arcuata,11,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
42,Lesser Whistling-Duck - Dendrocygna javanica,300,Navamin Lake,TH-50,12 Feb 2017,L1935064,S34312777
43,White-backed Duck - Thalassornis leuconotus,1,Lake Awassa--United Africa Shebelle Hotel area,ET-SN,08 Jan 2015,L2099157,S21297182
44,Emperor Goose - Anser canagicus,2,Cape Nome,US-AK,22 May 2013,L464529,S14216751
45,Snow Goose - Anser caerulescens,,Parker River NWR,US-MA,23 Feb 2005,L129046,S3703471
46,Ross's Goose - Anser rossii,1,Sweetwater Wetlands,US-AZ,14 Jan 2007,L208918,S3681626
47,Graylag Goose - Anser anser,3,"El Rocio, La Rocina",ES-AN,21 Apr 2008,L918618,S6490727
48,Greater White-fronted Goose - Anser albifrons,1,Concord Rotary Prison Fields,US-MA,10 Feb 2006,L358388,S3701791
49,Taiga Bean-Goose - Anser fabalis,30,加賀市--片野鴨池/鴨池観察館 (Kaga--Katano Kamoike / Kamoike Observation Center),JP-17,19 Dec 2013,L1483149,S16022969
50,Tundra Bean-Goose - Anser serrirostris,2,加賀市--片野鴨池/鴨池観察館 (Kaga--Katano Kamoike / Kamoike Observation Center),JP-17,19 Dec 2013,L1483149,S16022969
51,Pink-footed Goose - Anser brachyrhynchus,2,Newport,US-RI,22 Jan 2007,L113071,S3704679
52,Brant - Branta bernicla,,Boston Harbor Islands National Recreation Area--IBA,US-MA,11 Nov 2005,L207352,S6236516
53,Barnacle Goose - Branta leucopsis,1,Concord Rotary Prison Fields,US-MA,14 Oct 2007,L358388,S3703462
54,Cackling Goose - Branta hutchinsii,1,Plymouth,US-MA,27 Dec 2005,L111994,S3704692
55,Canada Goose - Branta canadensis,,Manomet Inc.,US-MA,31 Aug 2004,L207383,S3701848
56,Cape Barren Goose - Cereopsis novaehollandiae,11,"Lakeland Wetlands, Lara",AU-VIC,07 Dec 2017,L2548472,S41005560
57,Freckled Duck - Stictonetta naevosa,19,"Begola Wetlands, Ocean Grove",AU-VIC,07 Dec 2017,L2548630,S41005568
58,Blue-winged Goose - Cyanochen cyanoptera,1,Debre Libanos--Lodge and Portuguese Bridge,ET-OR,19 Dec 2014,L1550631,S21327441
59,Mute Swan - Cygnus olor,,Manomet Inc.,US-MA,31 Aug 2004,L207383,S3701848
60,Black Swan - Cygnus atratus,2,Camargue--Mas d'Agon,FR-U,02 Apr 2014,L932858,S17705665
61,Black-necked Swan - Cygnus melancoryphus,74,Chacao,CL-LL,04 Feb 2010,L488817,S5862504
62,Trumpeter Swan - Cygnus buccinator,2,Seward Highway - roadside marsh,US-AK,13 Jul 2012,L1623235,S11150057
63,Tundra Swan - Cygnus columbianus,4,Point Lookout State Park,US-MD,08 Feb 2009,L126618,S4543580
64,Whooper Swan - Cygnus cygnus,12,羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port),JP-01,26 Dec 2013,L1557969,S16086025
65,Coscoroba Swan - Coscoroba coscoroba,2,Caulín,CL-LL,05 Feb 2010,L516521,S5862510
66,Comb Duck - Sarkidiornis melanotos,1,Loja-Macara bus,EC-L,09 Jan 2010,L863247,S6083660
67,Andean Goose - Oressochen melanopterus,9,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,20 Nov 2009,L846513,S5877051
68,Upland Goose - Chloephaga picta,4,Laguna del Maule and environs,CL-ML,03 Feb 2010,L843341,S5853332
69,Kelp Goose - Chloephaga hybrida,17,MN Islotes de Puñihuil,CL-LL,05 Feb 2010,L571412,S5862506
70,Ashy-headed Goose - Chloephaga poliocephala,15,Yaldad,CL-LL,07 Feb 2010,L846316,S5875543
71,Egyptian Goose - Alopochen aegyptiaca,1,Sululta Plains -- stop #1,ET-OR,19 Dec 2014,L3289434,S21327432
72,Ruddy Shelduck - Tadorna ferruginea,2,Bale Mts--Goba escarpment,ET-OR,31 Dec 2014,L2099193,S21327340
73,Australian Shelduck - Tadorna tadornoides,1,"Calder Highway, Kurting AU-VIC (-36.5402,143.8130)",AU-VIC,03 Dec 2017,L6529550,S40896715
74,Common Shelduck - Tadorna tadorna,6,Huelva marshes to La Rocina,ES-AN,22 Apr 2008,L918615,S6490728
75,Radjah Shelduck - Tadorna radjah,4,Freshwater and Saltwater Lakes (Centenary Lakes),AU-QLD,27 Nov 2017,L3319994,S40775513
76,Spur-winged Goose - Plectropterus gambensis,35,Bishangari Lodge,ET-OR,28 Dec 2014,L2825615,S21296221
77,Flying Steamer-Duck - Tachyeres patachonicus,2,PN Conguillío,CL-AR,09 Feb 2010,L571161,S5888993
78,Flightless Steamer-Duck - Tachyeres pteneres,12,MN Islotes de Puñihuil,CL-LL,05 Feb 2010,L571412,S5862506
79,Crested Duck - Lophonetta specularioides,15,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,19 Nov 2009,L846513,S5877050
80,Spectacled Duck - Speculanas specularis,1,Lago Colbún,CL-ML,03 Feb 2010,L571417,S5853336
