Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Common Ostrich,,West Coast NP,ZA-WC,14 Sep 2015,L930821,S26215183
2,Somali Ostrich,5,Aledeghi Wildlife Reserve,ET-AF,23 Dec 2014,L2846177,S24918414
3,Greater Rhea,,Barba Azul Nature Reserve,BO-B,12 Sep 2014,L1133586,S28880641
4,Lesser Rhea,2,Buque Quemado,CL-MA,26 Oct 2011,L822631,S31519480
5,Tawny-breasted Tinamou,1,RNA Loro Orejiamarillo (Yellow-eared Parrot Reserve),CO-ANT,28 Jul 2008,L604060,S27890598
6,Hooded Tinamou,3,Abra Maruncunca (Valqui 7.3),PE-PUN,08 Nov 2009,L2293372,S27891713
7,Gray Tinamou,2,PN Podocarpus--Río Bombuscaro,EC-Z,22 Dec 2007,L482424,S26162591
8,Solitary Tinamou,1,PE Intervales,BR-SP,14 Nov 2015,L972187,S26217582
9,Black Tinamou,,WildSumaco Lodge,EC-N,26 Jan 2012,L858993,S27897457
10,Great Tinamou,1,Wilson Botanical Garden (OTS Las Cruces),CR-P,23 Dec 2003,L441320,S30625754
11,White-throated Tinamou,1,Yasuni Biological Research Station,EC-D,04 Jan 2008,L685430,S26162748
12,Cinereous Tinamou,2,Gareno Lodge,EC-N,06 Jun 2006,L1051380,S26162751
13,Berlepsch's Tinamou,,Playa de Oro Reserva de Los Tigrillos,EC-E,25 Feb 2012,L615475,S27897458
14,Little Tinamou,,San Vito--aeropeurto y lagunas San Joaquin,CR-P,22 Dec 2003,L446379,S30625758
15,Brown Tinamou,1,Carretera La Cumbre,PE-PAS,22 Nov 2009,L846536,S6591537
16,Undulated Tinamou,2,Gareno Lodge,EC-N,08 Jun 2006,L1051380,S26162752
17,Pale-browed Tinamou,1,Pacoche--Refugio de Vida Silvestre,EC-M,22 May 2006,L1208286,S26162762
18,Brazilian Tinamou,,Explorer's Inn,PE-MDD,09 Apr 2011,L768519,S27901955
19,Gray-legged Tinamou,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S6591590
20,Red-legged Tinamou,1,PN Henri Pittier--Carretera a Cumboto,VE-D,20 Dec 2006,L2328194,S26161647
21,Black-capped Tinamou,2,Región Oceanía (Dept. Loreto),PE-MDD,30 Oct 2009,L492610,S27666844
22,Slaty-breasted Tinamou,1,Reserva de la Biosfera Los Tuxtlas--Carretera San Andrés Tuxtla-Ruiz Cortines,MX-VER,13 Jan 2006,L1336031,S26225947
23,Choco Tinamou,1,PN Darién--below Rancho Plastico,PA-5,21 Mar 2013,L4859984,S31113404
24,Variegated Tinamou,2,Reserva Forestal del Caura,VE-F,04 Jan 2007,L1341767,S26161646
